title,keywords,cleaned_genre,semantic_density,emotion_score,entropy,cliche_score
폭풍전야(영화),"사랑, 눈, 마음, 분류, 복수, 감옥, 날, 상병, 김남길",로맨스,0.8191803,0.7407407382716049,0.2075187486729242,70.78
모피를 입은 비너스(영화),"민수, 매력, 사랑, 같, 집, 욕망, 살인, 증오, 스릴러, 죽음",기타,0.67423064,0.9999999966666666,0.1315172022331585,67.43
환절기(영화),"수현, 용, 준, 아들, 미경, 비밀, 짐작, 계절, 청년, 고",드라마,0.94938374,0.3333333322222222,0.1315172022331585,67.27
타락천사(영화),"에이전트, 사랑, 지명, 황, 감정, 말, 병, 동업, 참조, 이",기타,0.94688326,0.3333333322222222,0.1315172022331585,67.12
중천(영화),"중천, 원귀, 소화, 반란, 퇴마무사, 연인, 영혼, 세계, 곽, 사랑",액션,0.9464155,0.3333333322222222,0.1315172022331585,67.09
티스(영화),"이빨, 사랑, 모험, 브래드, 오빠, 음흉, 의붓, 진짜, 눈길, 집",공포,0.9387281,0.3333333322222222,0.1315172022331585,66.63
백야(한국 영화),"아프, 배달, 기억, 퀵서비스, 한국, 원규, 승무원, 태준, 있, 사랑",기타,0.9261449,0.3333333322222222,0.1315172022331585,65.87
그녀는 거짓말을 너무 사랑해(영화),"거짓말, 첫사랑, 시작, 이름, 아키, 괜찮, 세상, 위협, 남자, 같",로맨스,0.7708896,0.6666666644444444,0.1315172022331585,64.89
물랑루즈(영화),"사랑, 세계, 루즈, 크리스티앙, 운명, 없, 시작, 신분, 샤틴은, 사이",뮤지컬,0.7376516,0.6666666644444444,0.1315172022331585,62.9
똥파리(영화),"상훈, 연희, 날, 세상, 아프, 핏줄, 동료, 적, 자기, 용역",드라마,1.0,0.0,0.1315172022331585,61.97
유정(영화),"정님, 딸, 사이, 교장, 사랑, 사실, 독립운동, 벌판, 마음, 시기",기타,0.85107535,0.3333333322222222,0.1315172022331585,61.37
스토커(2013년 영화),"인디아, 찰리, 삼촌, 자신, 존재, 아빠, 비밀, 충격, 이블린, 니콜",스릴러,0.7026349,0.6666666644444444,0.1315172022331585,60.8
트라이브(영화),"사랑, 조직, 없, 학교, 대사, 자막, 해석, 필요, 진행, 증오",드라마,0.8362331,0.3333333322222222,0.1315172022331585,60.48
나탈리(한국 영화),"나탈리, 사랑, 준혁, 기억, 실제, 모델, 자신, 민우, 시작, 비밀",기타,0.6969902,0.6666666644444444,0.1315172022331585,60.46
모리스(영화),"크, 라이브, 모리스, 여건, 알렉, 하인, 육체, 사회, 관계, 플라토닉",로맨스,0.97090095,0.0,0.1315172022331585,60.23
악녀(영화),"숙희, 비밀, 킬러, 엄청나, 자신, 남자, 등장, 일, 기회, 자유",액션,0.8261342,0.3333333322222222,0.1315172022331585,59.87
여의도(영화),"황, 우진, 과장, 자신, 후배, 친구, 행운, 목, 분류, 밀집",기타,0.96069944,0.0,0.1315172022331585,59.61
기생충(영화),"가족, 기우, 사장, 박, 길, 사이, 좋, 만남, 기택, 고액",기타,0.9472495,0.0,0.1315172022331585,58.81
범블비(영화),"범블비, 폐, 헤일리 스타인펠드, 찰리, 피신, 차장, 방황, 자신, 소녀, 곳",SF,0.9629527,0.0,0.062765440682787,58.72
